Explained node,Nodes with nonzero weights,Node weights,Edges with nonzero weights,Edge weights
693,"[424, 693]","[0.3719390630722046, 0.44974032044410706]","[1074, 1529]","[0.7413361072540283, 0.7853531241416931]"
694,[694],[0.6522507071495056],[],[]
695,"[503, 695, 739, 834]","[0.2530311048030853, 0.7406018972396851, 0.2936858534812927, 0.484839528799057]","[1207, 1530, 1531, 1532, 1606, 1741]","[0.7441340684890747, 0.7746628522872925, 0.7649365663528442, 0.7776339650154114, 0.753812313079834, 0.7365090250968933]"
696,"[696, 697]","[0.2707374691963196, 0.30086520314216614]","[1533, 1534]","[0.788678765296936, 0.761238157749176]"
697,"[696, 697]","[0.2764663100242615, 0.29345396161079407]","[1533, 1534]","[0.7582370638847351, 0.7908297777175903]"
698,"[698, 1757]","[0.4064878225326538, 0.38431259989738464]","[1535, 3534]","[0.7855996489524841, 0.741360068321228]"
699,[699],[0.27093324065208435],[],[]
700,"[52, 269, 289, 305, 308, 310, 337, 341, 342, 417, 420, 441, 556, 576, 615, 700, 832, 833, 930, 982, 983, 1324, 2114, 3383, 3384]","[0.2808143198490143, 0.46144527196884155, 0.2693593204021454, 0.2922233045101166, 0.2752527892589569, 0.2833094596862793, 0.7552716135978699, 0.30094942450523376, 0.2685433626174927, 0.26184219121932983, 0.24274474382400513, 0.2504197657108307, 0.2783519923686981, 0.2924497425556183, 0.28800201416015625, 0.7717266082763672, 0.7413803339004517, 0.2990449368953705, 0.2819349765777588, 0.2681952714920044, 0.2602451741695404, 0.2674632668495178, 0.7519910931587219, 0.25502002239227295, 0.2722090780735016]","[108, 705, 706, 707, 735, 736, 750, 756, 757, 769, 862, 863, 868, 870, 871, 874, 1062, 1067, 1119, 1317, 1349, 1421, 1536, 1537, 1538, 1539, 1540, 1541, 1729, 1732, 1733, 1734, 1738, 1739, 1862, 1966, 1974, 2549, 4421, 4422, 4423, 6516, 6518]","[0.727302074432373, 0.7279011011123657, 0.22413323819637299, 0.7771995663642883, 0.7808845639228821, 0.7878830432891846, 0.7868291735649109, 0.22107402980327606, 0.2229146510362625, 0.7853320837020874, 0.7841020226478577, 0.7331902384757996, 0.22698627412319183, 0.2164159119129181, 0.7222272753715515, 0.22121603786945343, 0.7819064855575562, 0.7825822830200195, 0.7751449942588806, 0.7913948893547058, 0.7806902527809143, 0.22195231914520264, 0.770594596862793, 0.7583266496658325, 0.7856389284133911, 0.7823880314826965, 0.23320047557353973, 0.771820068359375, 0.7911613583564758, 0.22042332589626312, 0.7260445952415466, 0.78281170129776, 0.7772396802902222, 0.7811232805252075, 0.7758200764656067, 0.22125563025474548, 0.7867087125778198, 0.7779634594917297, 0.7809215784072876, 0.7430447936058044, 0.7839313745498657, 0.22385992109775543, 0.764606773853302]"
701,[701],[0.41106683015823364],[],[]
702,[702],[0.40092751383781433],[],[]
703,"[14, 28, 63, 123, 141, 154, 157, 160, 166, 194, 400, 550, 703, 704, 974, 1014, 1015, 1209, 1274, 1362, 1437, 1502, 1510, 1511, 1660, 1671, 1783, 1821, 1822, 1901, 1902, 1991, 1995, 2044, 2067, 2316, 2476, 2580, 2610, 2686, 2687, 2768, 3060, 3152, 3202, 3206, 3514]","[0.26700663566589355, 0.27114978432655334, 0.2521836459636688, 0.2794937789440155, 0.2982751429080963, 0.2635698914527893, 0.23382598161697388, 0.2715994715690613, 0.6652564406394958, 0.3248853385448456, 0.2914397120475769, 0.2506207227706909, 0.7307379245758057, 0.7431944608688354, 0.28997719287872314, 0.2849024832248688, 0.7505362033843994, 0.28230443596839905, 0.26399853825569153, 0.2884984314441681, 0.2707516849040985, 0.26395660638809204, 0.27840298414230347, 0.2545629143714905, 0.26719123125076294, 0.2962997853755951, 0.26893600821495056, 0.2898077368736267, 0.28383591771125793, 0.2737535834312439, 0.274637907743454, 0.27309131622314453, 0.2882547080516815, 0.29807141423225403, 0.2997284233570099, 0.27253276109695435, 0.25550395250320435, 0.26875951886177063, 0.24951067566871643, 0.27983158826828003, 0.3295499086380005, 0.262954980134964, 0.2657374143600464, 0.2830735445022583, 0.30188900232315063, 0.32078614830970764, 0.40754935145378113]","[26, 50, 134, 285, 337, 386, 405, 424, 452, 525, 1011, 1304, 1542, 1543, 1544, 1923, 2048, 2081, 2399, 2486, 2646, 2887, 3105, 3122, 3124, 3351, 3371, 3580, 3689, 3695, 3862, 3867, 4095, 4100, 4237, 4287, 4965, 5340, 5498, 5547, 5658, 5669, 5786, 6124, 6246, 6332, 6344, 6609]","[0.22460883855819702, 0.22753867506980896, 0.2264988124370575, 0.22422577440738678, 0.22717785835266113, 0.22500120103359222, 0.226863831281662, 0.22722984850406647, 0.7668853402137756, 0.7826528549194336, 0.23025824129581451, 0.22848939895629883, 0.7798405885696411, 0.741195023059845, 0.7289438247680664, 0.2302573323249817, 0.22458256781101227, 0.7184796333312988, 0.22546102106571198, 0.2284758985042572, 0.2274717390537262, 0.22348816692829132, 0.22180677950382233, 0.22870862483978271, 0.21931694447994232, 0.22175121307373047, 0.2276880294084549, 0.22521843016147614, 0.24485239386558533, 0.2228698879480362, 0.22641997039318085, 0.22311636805534363, 0.23465582728385925, 0.7953976392745972, 0.7772102355957031, 0.2204505205154419, 0.22480535507202148, 0.22380071878433228, 0.7817869186401367, 0.22515280544757843, 0.22338078916072845, 0.7748497724533081, 0.22932015359401703, 0.23053580522537231, 0.23051878809928894, 0.7795308828353882, 0.7884373068809509, 0.773702085018158]"
704,"[703, 704, 1015]","[0.7024685740470886, 0.6999815702438354, 0.26630380749702454]","[1543, 1544, 2081]","[0.7437607049942017, 0.7724485397338867, 0.7865674495697021]"
705,"[77, 110, 114, 145, 146, 153, 155, 193, 235, 241, 360, 642, 705, 715, 768, 778, 792, 855, 1013, 1022, 1042, 1171, 1289, 1362, 1363, 1369, 1374, 1377, 1396, 1399, 1401, 1402, 1408, 1437, 1441, 1442, 1475, 1479, 1482, 1551, 1620, 1694, 1741, 1771, 1796, 1858, 1859, 1885, 1900, 1946, 1947, 1980, 2014, 2031, 2046, 2047, 2048, 2067, 2095, 2118, 2128, 2135, 2167, 2179, 2184, 2256, 2286, 2300, 2313, 2329, 2339, 2365, 2376, 2387, 2410, 2421, 2428, 2449, 2453, 2488, 2560, 2602, 2631, 2635, 2649, 2686, 2698, 2706, 2710, 2725, 2781, 2800, 2844, 2924, 2926, 2939, 2949, 3020, 3131, 3140, 3144, 3161, 3163, 3181, 3225, 3304, 3565, 3591, 3606, 3646, 3960, 4008]","[0.28971195220947266, 0.2892748713493347, 0.29109811782836914, 0.24783535301685333, 0.2646067440509796, 0.27423831820487976, 0.2706426680088043, 0.27287885546684265, 0.2600584030151367, 0.27955082058906555, 0.31083059310913086, 0.268393874168396, 0.7194251418113708, 0.3123747706413269, 0.28801339864730835, 0.2838664650917053, 0.2653675973415375, 0.30679431557655334, 0.27090296149253845, 0.26074960827827454, 0.2811923325061798, 0.28093576431274414, 0.262165904045105, 0.3055209219455719, 0.29158589243888855, 0.25608029961586, 0.25922372937202454, 0.6937676668167114, 0.3061508238315582, 0.2622551918029785, 0.28352439403533936, 0.3137678802013397, 0.2487010508775711, 0.29890602827072144, 0.2648032605648041, 0.3121579885482788, 0.2963687479496002, 0.2379448264837265, 0.29362332820892334, 0.2617281973361969, 0.2921506464481354, 0.2511577606201172, 0.27494409680366516, 0.7167497277259827, 0.2837812006473541, 0.3128088116645813, 0.2733539342880249, 0.2486870437860489, 0.2548742890357971, 0.2670016288757324, 0.26035451889038086, 0.29021626710891724, 0.2533716857433319, 0.26271283626556396, 0.2952558696269989, 0.27567586302757263, 0.6679972410202026, 0.24741216003894806, 0.25722846388816833, 0.28338196873664856, 0.2673940658569336, 0.2874830365180969, 0.27283531427383423, 0.2661544382572174, 0.2680208384990692, 0.23126067221164703, 0.2638706862926483, 0.26394274830818176, 0.2596220076084137, 0.2439277172088623, 0.2687515318393707, 0.2802254855632782, 0.28134363889694214, 0.273362934589386, 0.2596063017845154, 0.2501142621040344, 0.28950124979019165, 0.27235275506973267, 0.30045270919799805, 0.24931645393371582, 0.2828902006149292, 0.2609606385231018, 0.26409438252449036, 0.25977253913879395, 0.27458250522613525, 0.2833911180496216, 0.3173811137676239, 0.27152031660079956, 0.250940203666687, 0.3082211911678314, 0.28984662890434265, 0.7348886132240295, 0.2907131016254425, 0.3016296923160553, 0.26905176043510437, 0.28700143098831177, 0.2917522192001343, 0.3112594485282898, 0.28556299209594727, 0.2745142877101898, 0.2834014892578125, 0.2476138323545456, 0.2630733251571655, 0.2851959764957428, 0.25062596797943115, 0.24775448441505432, 0.2851256728172302, 0.2928953468799591, 0.31055885553359985, 0.280063271522522, 0.23970188200473785, 0.3339475393295288]","[180, 254, 255, 259, 271, 348, 352, 374, 377, 380, 389, 493, 621, 623, 624, 626, 642, 905, 1456, 1545, 1546, 1547, 1548, 1549, 1550, 1551, 1552, 1553, 1554, 1555, 1556, 1557, 1558, 1574, 1646, 1672, 1692, 1766, 1767, 1768, 1772, 1776, 2019, 2023, 2031, 2101, 2121, 2325, 2510, 2649, 2674, 2684, 2685, 2713, 2719, 2720, 2726, 2729, 2730, 2765, 2772, 2784, 2798, 2802, 2830, 2899, 2906, 2915, 2922, 3006, 3034, 3041, 3206, 3317, 3415, 3509, 3547, 3549, 3600, 3784, 3788, 3845, 3860, 3981, 3984, 4060, 4171, 4223, 4241, 4242, 4244, 4248, 4257, 4258, 4299, 4361, 4430, 4445, 4452, 4527, 4556, 4578, 4751, 4835, 4890, 4891, 4895, 4902, 4957, 4958, 5012, 5034, 5085, 5102, 5114, 5159, 5160, 5161, 5162, 5163, 5164, 5165, 5166, 5169, 5175, 5210, 5224, 5288, 5290, 5296, 5297, 5353, 5472, 5535, 5572, 5576, 5599, 5666, 5685, 5686, 5693, 5702, 5716, 5804, 5826, 5827, 5828, 5829, 5877, 5961, 5966, 5992, 5993, 5995, 6010, 6011, 6089, 6216, 6236, 6237, 6238, 6240, 6276, 6277, 6283, 6310, 6311, 6313, 6366, 6456, 6659, 6681, 6698, 6727, 6728, 6997, 7035]","[0.2570270001888275, 0.7313501834869385, 0.24717044830322266, 0.25708553194999695, 0.25401681661605835, 0.2791156768798828, 0.251492440700531, 0.25035613775253296, 0.2455562800168991, 0.24237650632858276, 0.24631313979625702, 0.2551373541355133, 0.2522062063217163, 0.7324771881103516, 0.24556659162044525, 0.2573809027671814, 0.2584693729877472, 0.25939512252807617, 0.24850723147392273, 0.25822189450263977, 0.25800278782844543, 0.26015573740005493, 0.25822150707244873, 0.26203668117523193, 0.2582797706127167, 0.24946323037147522, 0.25421765446662903, 0.25429853796958923, 0.25440630316734314, 0.25813379883766174, 0.2539154589176178, 0.2577696442604065, 0.26501843333244324, 0.24911728501319885, 0.24608582258224487, 0.2504982352256775, 0.2505894601345062, 0.7227362990379333, 0.25519245862960815, 0.2569769322872162, 0.2550143599510193, 0.25184622406959534, 0.26014044880867004, 0.254530131816864, 0.24498692154884338, 0.2541138231754303, 0.2554900646209717, 0.2508004307746887, 0.25494185090065, 0.2560095489025116, 0.25058481097221375, 0.25157326459884644, 0.7089383602142334, 0.25022807717323303, 0.2577197551727295, 0.2509722113609314, 0.24905219674110413, 0.7324051856994629, 0.25580692291259766, 0.23639266192913055, 0.2482955902814865, 0.25302454829216003, 0.257991760969162, 0.24740508198738098, 0.2466028481721878, 0.2522289752960205, 0.2473498433828354, 0.24837301671504974, 0.24966439604759216, 0.2528362274169922, 0.24615886807441711, 0.24321810901165009, 0.24614587426185608, 0.2514186501502991, 0.24842938780784607, 0.2484225630760193, 0.25347205996513367, 0.7322532534599304, 0.27260276675224304, 0.2464025765657425, 0.24894127249717712, 0.2533910572528839, 0.24789631366729736, 0.24366386234760284, 0.2421031892299652, 0.25211238861083984, 0.25007423758506775, 0.2423468977212906, 0.24750611186027527, 0.2521391808986664, 0.26367998123168945, 0.2553786337375641, 0.6988243460655212, 0.24985173344612122, 0.2524714469909668, 0.2540270686149597, 0.2567923963069916, 0.25504493713378906, 0.2519935965538025, 0.2546379566192627, 0.2535441517829895, 0.25202029943466187, 0.2514233887195587, 0.2523858845233917, 0.7242578864097595, 0.25190210342407227, 0.25403526425361633, 0.25574564933776855, 0.25126975774765015, 0.24629445374011993, 0.25015610456466675, 0.24947942793369293, 0.2513882517814636, 0.24893967807292938, 0.2587372660636902, 0.7357147932052612, 0.2550697922706604, 0.2515314817428589, 0.2525703012943268, 0.25682932138442993, 0.25455817580223083, 0.25090479850769043, 0.24279235303401947, 0.25446951389312744, 0.2521713376045227, 0.23680830001831055, 0.25247201323509216, 0.2581270635128021, 0.2497188001871109, 0.24735863506793976, 0.24127855896949768, 0.252126544713974, 0.24915273487567902, 0.24763962626457214, 0.2513410747051239, 0.25738900899887085, 0.2553965747356415, 0.2508494257926941, 0.7138463258743286, 0.24940389394760132, 0.24970018863677979, 0.25310903787612915, 0.2455834448337555, 0.24899335205554962, 0.6520049571990967, 0.7385097742080688, 0.2517174482345581, 0.2586968243122101, 0.24390056729316711, 0.2573714852333069, 0.2299066036939621, 0.2549111843109131, 0.25078266859054565, 0.7130388617515564, 0.2562709450721741, 0.24418805539608002, 0.25418537855148315, 0.25475531816482544, 0.2502433657646179, 0.7357099056243896, 0.25185588002204895, 0.25313183665275574, 0.2543025612831116, 0.7233924865722656, 0.25040727853775024, 0.25250244140625, 0.2513800263404846, 0.2516701817512512, 0.2549414038658142, 0.24903155863285065, 0.2485673725605011, 0.254408061504364, 0.2645935118198395, 0.24756033718585968, 0.2536090612411499, 0.25227290391921997, 0.2488584965467453]"
706,"[368, 566, 567, 706]","[0.26329341530799866, 0.30334529280662537, 0.27022337913513184, 0.263036847114563]","[927, 1335, 1340, 1559]","[0.7805420756340027, 0.771306037902832, 0.7419691681861877, 0.7873964905738831]"
707,"[707, 1306, 3575]","[0.28846049308776855, 0.2930203378200531, 0.2907882332801819]","[1560, 1561, 2535, 2536, 6667, 6668]","[0.21556352078914642, 0.21823212504386902, 0.7494184374809265, 0.7842841148376465, 0.7535141706466675, 0.7838103771209717]"
708,"[708, 1427]","[0.2635881304740906, 0.29869237542152405]","[1562, 2859]","[0.7910812497138977, 0.7596437335014343]"
709,"[691, 709, 710, 1543]","[0.2836608588695526, 0.7330934405326843, 0.5998039245605469, 0.23190046846866608]","[1522, 1563, 1564, 3196]","[0.7875580191612244, 0.7788686156272888, 0.7243234515190125, 0.21311068534851074]"
710,"[163, 690, 691, 709, 710, 1543]","[0.2694130539894104, 0.31014323234558105, 0.2726004719734192, 0.6142615079879761, 0.7158515453338623, 0.7173547148704529]","[445, 1519, 1522, 1563, 1564, 1565, 1566, 3196]","[0.7876265048980713, 0.7886738777160645, 0.7439826130867004, 0.7327704429626465, 0.7636373043060303, 0.7646284699440002, 0.787274181842804, 0.7265260815620422]"
711,"[711, 738, 3545]","[0.2874191105365753, 0.2904658615589142, 0.2690752148628235]","[1567, 1568, 1605, 6637]","[0.789670467376709, 0.7804862260818481, 0.7738786935806274, 0.7487474679946899]"
712,[712],[0.2886042594909668],[],[]
713,"[80, 86, 87, 564, 713]","[0.3013111650943756, 0.24386072158813477, 0.28270459175109863, 0.2711910307407379, 0.6682955026626587]","[190, 197, 201, 1331, 1569]","[0.7554183602333069, 0.2118346244096756, 0.786760151386261, 0.786312460899353, 0.7894354462623596]"
714,"[400, 420, 519, 641, 714, 890, 1015, 1534]","[0.278379887342453, 0.3046722412109375, 0.7357531785964966, 0.30620041489601135, 0.26583918929100037, 0.35962262749671936, 0.2544253170490265, 0.31073281168937683]","[1010, 1066, 1217, 1449, 1570, 1571, 1572, 1824, 2094, 3171]","[0.7549207210540771, 0.7636944055557251, 0.7455276846885681, 0.7839467525482178, 0.7863044738769531, 0.21135962009429932, 0.780731737613678, 0.7288561463356018, 0.7984704375267029, 0.21212506294250488]"
715,"[77, 193, 235, 642, 705, 715, 778, 1013, 1022, 1369, 1374, 1399, 1401, 1402, 1408, 1482, 1859, 1885, 1980, 2048, 2118, 2128, 2135, 2167, 2300, 2387, 2410, 2488, 2560, 2573, 2602, 2631, 2649, 2725, 2755, 2924, 3020, 3122, 3131, 3144, 3181, 3304, 3565, 3606, 3646, 4008]","[0.25095662474632263, 0.2889818251132965, 0.2766403257846832, 0.29369714856147766, 0.2769951820373535, 0.7029711604118347, 0.26046356558799744, 0.2969460189342499, 0.24619632959365845, 0.25548261404037476, 0.2909467816352844, 0.2927263379096985, 0.27018994092941284, 0.2627617120742798, 0.25113892555236816, 0.2899739444255829, 0.7129673361778259, 0.3059389889240265, 0.29445573687553406, 0.2978724539279938, 0.27900123596191406, 0.2827562093734741, 0.2458450347185135, 0.28287091851234436, 0.3065101206302643, 0.2879659831523895, 0.2508600950241089, 0.26722452044487, 0.28733310103416443, 0.7733113169670105, 0.2900712490081787, 0.24777309596538544, 0.2546745240688324, 0.2948055863380432, 0.2952722907066345, 0.26839178800582886, 0.27097266912460327, 0.5379855632781982, 0.27125680446624756, 0.24814337491989136, 0.27844753861427307, 0.31731170415878296, 0.26585227251052856, 0.2740463316440582, 0.2860018312931061, 0.3184664845466614]","[180, 493, 621, 1456, 1546, 1573, 1574, 1672, 2023, 2101, 2713, 2719, 2784, 2797, 2798, 2802, 2830, 3041, 3786, 3788, 3845, 4060, 4248, 4430, 4445, 4452, 4527, 4900, 4916, 5114, 5160, 5353, 5472, 5486, 5535, 5572, 5599, 5716, 5767, 5961, 6089, 6195, 6216, 6240, 6309, 6310, 6456, 6659, 6698, 6728, 7035]","[0.23161490261554718, 0.2283046990633011, 0.23043590784072876, 0.2274194359779358, 0.22311264276504517, 0.7570673227310181, 0.22620026767253876, 0.22839494049549103, 0.22508206963539124, 0.22839140892028809, 0.22238066792488098, 0.22391235828399658, 0.796635091304779, 0.7792630791664124, 0.22697697579860687, 0.2171274572610855, 0.23245306313037872, 0.23119224607944489, 0.7468092441558838, 0.22778622806072235, 0.23034021258354187, 0.23271378874778748, 0.22841887176036835, 0.2349506914615631, 0.22536233067512512, 0.2293265163898468, 0.2312527447938919, 0.22543103992938995, 0.7242740392684937, 0.22725999355316162, 0.22906826436519623, 0.2269706428050995, 0.2187098115682602, 0.7617486119270325, 0.23359909653663635, 0.22976401448249817, 0.22616875171661377, 0.22437433898448944, 0.7789236903190613, 0.2245093733072281, 0.22514130175113678, 0.7653576135635376, 0.22862784564495087, 0.22917971014976501, 0.22669588029384613, 0.22972412407398224, 0.7858358025550842, 0.23076988756656647, 0.22914479672908783, 0.2231646180152893, 0.7865694761276245]"
716,[716],[0.48751941323280334],[],[]
717,"[571, 717, 1108]","[0.3181494474411011, 0.6466903686523438, 0.389320433139801]","[1345, 1346, 1575, 1576, 2233, 2234]","[0.7255023121833801, 0.7797009944915771, 0.7786144018173218, 0.7781258225440979, 0.7714117765426636, 0.7328813076019287]"
718,"[718, 804, 2341]","[0.23218640685081482, 0.715067446231842, 0.26245754957199097]","[1577, 1703, 5035]","[0.21407170593738556, 0.7564984560012817, 0.7889215350151062]"
719,"[76, 246, 313, 314, 315, 360, 384, 397, 719, 720, 962]","[0.27905383706092834, 0.2710775136947632, 0.36078163981437683, 0.58784419298172, 0.45400291681289673, 0.25567352771759033, 0.2586432099342346, 0.28431010246276855, 0.7104419469833374, 0.2678253948688507, 0.29607510566711426]","[177, 656, 774, 775, 777, 778, 780, 781, 903, 967, 1000, 1578, 1579, 1580, 1581, 1584, 1895]","[0.7763845920562744, 0.7944492697715759, 0.7681735754013062, 0.7723963856697083, 0.7772435545921326, 0.7347831130027771, 0.7800213098526001, 0.735856831073761, 0.22671933472156525, 0.7783367037773132, 0.7273979783058167, 0.7844972014427185, 0.7791870832443237, 0.7827669382095337, 0.7841919660568237, 0.7682610154151917, 0.7701502442359924]"
720,"[245, 246, 314, 315, 360, 397, 719, 720, 841, 842, 922, 963, 1363, 2235, 2321, 2844]","[0.28607621788978577, 0.429769903421402, 0.3117048144340515, 0.2774205207824707, 0.2751528024673462, 0.3067302107810974, 0.7139283418655396, 0.2773287296295166, 0.2969030439853668, 0.262396901845932, 0.2936798334121704, 0.2721545398235321, 0.2443225085735321, 0.2670218050479889, 0.260525643825531, 0.29500263929367065]","[650, 656, 778, 781, 903, 1000, 1581, 1582, 1583, 1584, 1748, 1750, 1855, 1896, 2688, 4679, 4983, 5879]","[0.21712157130241394, 0.7309593558311462, 0.7678143978118896, 0.7718927264213562, 0.24959219992160797, 0.7670425772666931, 0.7347140908241272, 0.21873924136161804, 0.2180107682943344, 0.21841806173324585, 0.22067372500896454, 0.21787035465240479, 0.7765215039253235, 0.22161144018173218, 0.2223832607269287, 0.2211715281009674, 0.22701460123062134, 0.22552764415740967]"
721,"[70, 74, 87, 149, 156, 196, 197, 227, 232, 324, 436, 721, 775, 854, 974, 998, 1046, 1068, 1118, 1124, 1362, 1560, 1572, 1660, 1672, 1673, 1816, 1869, 2372, 3052, 3068, 3099, 3101, 3266, 3647, 3874]","[0.2566971182823181, 0.30732327699661255, 0.26762768626213074, 0.24725955724716187, 0.27409204840660095, 0.2503737211227417, 0.26272642612457275, 0.26335519552230835, 0.23579338192939758, 0.2802979350090027, 0.2755744755268097, 0.7042869329452515, 0.28085842728614807, 0.26830077171325684, 0.2784914970397949, 0.2841496169567108, 0.28170061111450195, 0.2586738169193268, 0.2629626393318176, 0.30536627769470215, 0.30349040031433105, 0.29103755950927734, 0.29350244998931885, 0.25384774804115295, 0.24125687777996063, 0.28886115550994873, 0.2902321517467499, 0.29254835844039917, 0.3031786382198334, 0.26718369126319885, 0.2666545808315277, 0.2983284294605255, 0.26063546538352966, 0.27758195996284485, 0.29851606488227844, 0.24510875344276428]","[151, 168, 204, 362, 401, 533, 537, 604, 611, 813, 1101, 1585, 1663, 1763, 1931, 2001, 2148, 2188, 2245, 2271, 2650, 3220, 3268, 3354, 3374, 3390, 3670, 3809, 5096, 6112, 6136, 6175, 6180, 6412, 6731, 6947]","[0.22696980834007263, 0.21949461102485657, 0.22618840634822845, 0.22186952829360962, 0.2176658809185028, 0.2197907567024231, 0.22331884503364563, 0.2215607464313507, 0.7905274629592896, 0.23161004483699799, 0.21957683563232422, 0.2219466120004654, 0.21903826296329498, 0.22264084219932556, 0.22632813453674316, 0.2194725126028061, 0.2249378263950348, 0.2223643958568573, 0.7931761741638184, 0.2204822301864624, 0.22318601608276367, 0.22463464736938477, 0.23448880016803741, 0.21848799288272858, 0.2252400517463684, 0.22418658435344696, 0.21587572991847992, 0.7724543213844299, 0.21808315813541412, 0.7770525813102722, 0.22211702167987823, 0.7882675528526306, 0.779420018196106, 0.7797613739967346, 0.7859205603599548, 0.7734116911888123]"
722,"[437, 615, 722, 759, 760, 1509, 2764]","[0.32704371213912964, 0.2826976776123047, 0.736433207988739, 0.27123624086380005, 0.25357547402381897, 0.26043927669525146, 0.2876289188861847]","[1106, 1425, 1586, 1637, 1639, 3121, 5783]","[0.7591016888618469, 0.22534915804862976, 0.7682348489761353, 0.760640025138855, 0.7721331119537354, 0.7862150073051453, 0.2102201133966446]"
723,"[88, 723, 1361, 1368, 1935, 2029, 2661, 2739, 2957, 3923]","[0.5980072021484375, 0.2671915590763092, 0.2903658449649811, 0.25124722719192505, 0.26823320984840393, 0.31189486384391785, 0.741635262966156, 0.29225558042526245, 0.2650502622127533, 0.3351856768131256]","[208, 209, 1587, 1588, 2642, 2707, 3966, 4211, 5610, 5611, 5746, 6028, 6986]","[0.7450156211853027, 0.7854334115982056, 0.21600237488746643, 0.7906171679496765, 0.7752466797828674, 0.2214026004076004, 0.778999388217926, 0.7715538144111633, 0.7825166583061218, 0.74104243516922, 0.7644858360290527, 0.2166994959115982, 0.7641357779502869]"
724,[724],[0.27159008383750916],[],[]
725,"[401, 535, 725]","[0.7422762513160706, 0.230740025639534, 0.3248198926448822]","[1012, 1258, 1589, 1590]","[0.741856575012207, 0.7557854652404785, 0.7701519131660461, 0.7807988524436951]"
726,[726],[0.3842848539352417],[],[]
727,"[727, 2063, 2228]","[0.3011595904827118, 0.2777673602104187, 0.39749717712402344]","[1591, 4278, 4647]","[0.7833514213562012, 0.7757842540740967, 0.7445653676986694]"
728,[728],[0.30817911028862],[],[]
729,"[36, 161, 241, 383, 414, 482, 623, 729, 797, 1204, 1246, 3111, 3327, 3609, 3685]","[0.2610393762588501, 0.32111114263534546, 0.300377756357193, 0.2925660312175751, 0.27019166946411133, 0.2485690861940384, 0.29053133726119995, 0.7172219753265381, 0.2887688875198364, 0.25567737221717834, 0.31265488266944885, 0.7500498294830322, 0.2837051749229431, 0.28022459149360657, 0.5455928444862366]","[61, 437, 641, 952, 1052, 1178, 1438, 1592, 1593, 1697, 2386, 2458, 6186, 6481, 6700, 6758]","[0.21803928911685944, 0.7748297452926636, 0.7755129933357239, 0.7812079191207886, 0.7909210920333862, 0.22322747111320496, 0.21502692997455597, 0.7867447733879089, 0.7686605453491211, 0.7945156097412109, 0.783725917339325, 0.783624529838562, 0.7438225746154785, 0.7908519506454468, 0.23169228434562683, 0.7596344947814941]"
730,"[375, 386, 560, 730, 1457]","[0.30842798948287964, 0.2699274718761444, 0.29447925090789795, 0.3075833320617676, 0.27064505219459534]","[934, 973, 1325, 1594, 2963]","[0.7883251309394836, 0.7779892086982727, 0.745051920413971, 0.7891994118690491, 0.7933300137519836]"
731,"[338, 390, 417, 433, 461, 525, 731, 732, 1031, 1138, 1169, 3502]","[0.29521387815475464, 0.2910594642162323, 0.6245883107185364, 0.26949095726013184, 0.7304847240447998, 0.2660192549228668, 0.2908897399902344, 0.267898291349411, 0.3266353905200958, 0.28149178624153137, 0.2761232256889343, 0.2796398103237152]","[864, 979, 980, 983, 1063, 1100, 1142, 1223, 1595, 1596, 1597, 1598, 1599, 1600, 2109, 2291, 2321, 6593, 6594]","[0.22150982916355133, 0.7615262866020203, 0.21683092415332794, 0.7885973453521729, 0.7562146186828613, 0.2163010537624359, 0.7410901188850403, 0.21863101422786713, 0.22093258798122406, 0.2244865447282791, 0.23595330119132996, 0.21857723593711853, 0.2163984477519989, 0.7288337349891663, 0.7559568285942078, 0.2133137583732605, 0.2183459848165512, 0.21708515286445618, 0.21410077810287476]"
732,"[338, 390, 433, 461, 525, 599, 731, 732, 1031, 1138, 1169, 1707, 3502]","[0.28165385127067566, 0.2689457833766937, 0.2611324191093445, 0.3093335032463074, 0.2642134130001068, 0.267533540725708, 0.28188225626945496, 0.36639899015426636, 0.750601053237915, 0.27724313735961914, 0.26876404881477356, 0.2767685055732727, 0.27908796072006226]","[864, 979, 980, 1100, 1142, 1223, 1392, 1595, 1596, 1599, 1600, 1601, 2109, 2291, 2321, 3427, 6593, 6594]","[0.21742688119411469, 0.7889701128005981, 0.7658758163452148, 0.7904455661773682, 0.7700998187065125, 0.22128628194332123, 0.7775399088859558, 0.21802885830402374, 0.7591143250465393, 0.7939015030860901, 0.7897391319274902, 0.7774627208709717, 0.7418708205223083, 0.7925204038619995, 0.21735933423042297, 0.7743486762046814, 0.21609781682491302, 0.21616217494010925]"
733,"[76, 344, 397, 677, 733, 961]","[0.733177661895752, 0.27656036615371704, 0.310785174369812, 0.2546898126602173, 0.7064485549926758, 0.25906902551651]","[175, 878, 1001, 1500, 1602, 1894]","[0.7345306873321533, 0.7882843017578125, 0.7883217930793762, 0.7857520580291748, 0.7833791375160217, 0.7825974225997925]"
734,[734],[0.2913341224193573],[],[]
735,"[735, 736]","[0.3722999691963196, 0.31792446970939636]","[1603, 1604]","[0.7775322198867798, 0.7440788745880127]"
736,"[735, 736]","[0.3459395170211792, 0.4085986018180847]","[1603, 1604]","[0.7460559606552124, 0.7809689044952393]"
737,[737],[0.2807486057281494],[],[]
