Explained node,Nodes with nonzero weights,Node weights,Edges with nonzero weights,Edge weights
250,"[250, 1343, 1806, 2287, 3241]","[0.4191026985645294, 0.29654717445373535, 0.3099307417869568, 0.2878960967063904, 0.32957395911216736]","[672, 673, 2598, 3641, 4838, 6395]","[0.7748557329177856, 0.7877592444419861, 0.7849639654159546, 0.7791405320167542, 0.7358611226081848, 0.7412726879119873]"
251,"[36, 251, 383, 758, 1383, 1983, 2360, 3218]","[0.29623836278915405, 0.7015158534049988, 0.2833007276058197, 0.2825400233268738, 0.5059701800346375, 0.29789161682128906, 0.7434011101722717, 0.27850449085235596]","[63, 674, 675, 951, 1631, 2734, 4071, 5082, 6355]","[0.766872763633728, 0.7593652606010437, 0.7910416722297668, 0.217988058924675, 0.22075684368610382, 0.7369211316108704, 0.21657469868659973, 0.7527126669883728, 0.7837003469467163]"
252,"[252, 579, 580, 992, 1151, 1330, 1396, 1456, 1477, 1832, 1954, 2014, 2388, 2457, 2861]","[0.7482902407646179, 0.27958959341049194, 0.2680942714214325, 0.30569174885749817, 0.7074121236801147, 0.27138790488243103, 0.2784452438354492, 0.29350873827934265, 0.2564374804496765, 0.29347893595695496, 0.7211134433746338, 0.2985275089740753, 0.34336215257644653, 0.24273966252803802, 0.2348613291978836]","[676, 677, 678, 1352, 1366, 1987, 2302, 2559, 2758, 2962, 3025, 3720, 3994, 4172, 5116, 5314, 5893]","[0.7649144530296326, 0.7864967584609985, 0.7854865193367004, 0.21371527016162872, 0.7483206987380981, 0.223005473613739, 0.7615677714347839, 0.7924598455429077, 0.7709318995475769, 0.7307538390159607, 0.799361526966095, 0.7768850326538086, 0.7404048442840576, 0.772637665271759, 0.7608861327171326, 0.24248838424682617, 0.21445833146572113]"
253,[253],[0.6591312885284424],[],[]
254,"[254, 1227, 1335, 1515, 2023, 2035, 2086, 2670, 2795]","[0.7245810031890869, 0.7749189138412476, 0.28117501735687256, 0.26219072937965393, 0.26693281531333923, 0.29542413353919983, 0.2751268446445465, 0.2692890763282776, 0.25568151473999023]","[679, 680, 2425, 2575, 3130, 4194, 4229, 4341, 5634, 5817]","[0.7855927348136902, 0.7579377293586731, 0.7399435639381409, 0.2153986245393753, 0.21313564479351044, 0.2210841029882431, 0.21959678828716278, 0.2761807441711426, 0.22176653146743774, 0.22259829938411713]"
255,"[255, 1763]","[0.5834712386131287, 0.6059651970863342]","[681, 3536]","[0.762014627456665, 0.7474652528762817]"
256,[256],[0.7028191089630127],[],[]
257,"[257, 1625]","[0.41654664278030396, 0.38153764605522156]","[682, 3320]","[0.7636635303497314, 0.7355048656463623]"
258,"[258, 1914]","[0.35198915004730225, 0.39199355244636536]","[683, 3885]","[0.7626571655273438, 0.7627723217010498]"
259,[259],[0.5190610289573669],[],[]
260,"[260, 1247]","[0.6637182831764221, 0.41591355204582214]","[684, 2460]","[0.7657153606414795, 0.759509801864624]"
261,"[16, 112, 123, 137, 145, 146, 149, 153, 154, 156, 193, 197, 227, 232, 249, 261, 324, 487, 973, 975, 1014, 1015, 1068, 1088, 1289, 1362, 1363, 1437, 1477, 1511, 1533, 1560, 1587, 1611, 1665, 1672, 1673, 1676, 1809, 1816, 1817, 1830, 2236, 2313, 2323, 2368, 2372, 2830, 2881, 2961, 3356, 3360, 3834]","[0.234152689576149, 0.26738783717155457, 0.284290611743927, 0.259137362241745, 0.2664487361907959, 0.25532132387161255, 0.27007079124450684, 0.28516775369644165, 0.24244548380374908, 0.2862250804901123, 0.2704955041408539, 0.2724454998970032, 0.2800455689430237, 0.30937549471855164, 0.2527247965335846, 0.7700140476226807, 0.2491462230682373, 0.2577517628669739, 0.28036248683929443, 0.2651422619819641, 0.26270925998687744, 0.2648492753505707, 0.28035980463027954, 0.23754142224788666, 0.31092599034309387, 0.2612057626247406, 0.2679438889026642, 0.2844499349594116, 0.26577553153038025, 0.264835000038147, 0.26578786969184875, 0.27851778268814087, 0.2821100652217865, 0.2645425796508789, 0.27034443616867065, 0.26774370670318604, 0.2916494607925415, 0.2805095613002777, 0.3192959725856781, 0.3039643168449402, 0.24759051203727722, 0.30411040782928467, 0.2631380259990692, 0.2583144009113312, 0.30424875020980835, 0.2785585820674896, 0.2667139172554016, 0.2772699296474457, 0.2741674780845642, 0.7116521596908569, 0.272203266620636, 0.2676026225090027, 0.2820974886417389]","[29, 261, 287, 323, 344, 354, 363, 379, 387, 398, 504, 539, 602, 612, 664, 685, 686, 687, 825, 828, 1186, 1921, 1946, 2051, 2054, 2189, 2216, 2509, 2656, 2658, 2659, 2671, 2888, 3021, 3125, 3170, 3232, 3241, 3242, 3289, 3304, 3362, 3375, 3388, 3399, 3648, 3667, 3679, 3714, 4683, 4948, 4998, 5091, 5095, 5865, 5907, 6032, 6033, 6034, 6504, 6508, 6905]","[0.2367623895406723, 0.2314753383398056, 0.2270933836698532, 0.2317725270986557, 0.2272682636976242, 0.2366819828748703, 0.23181982338428497, 0.23041921854019165, 0.22593337297439575, 0.23251643776893616, 0.22661124169826508, 0.22999800741672516, 0.2340671271085739, 0.22919222712516785, 0.23094993829727173, 0.22416280210018158, 0.22843284904956818, 0.7483755350112915, 0.23532380163669586, 0.23516955971717834, 0.2380446493625641, 0.23168188333511353, 0.2327643632888794, 0.2316993921995163, 0.23543216288089752, 0.23338714241981506, 0.23256772756576538, 0.23510019481182098, 0.23603227734565735, 0.23292402923107147, 0.2272932380437851, 0.2337321937084198, 0.23060770332813263, 0.2322855442762375, 0.23215250670909882, 0.2307852953672409, 0.23401401937007904, 0.24750906229019165, 0.22678786516189575, 0.23536156117916107, 0.2319812774658203, 0.23478274047374725, 0.22604912519454956, 0.2291126549243927, 0.2339395433664322, 0.23915503919124603, 0.2332996428012848, 0.2285856306552887, 0.24049226939678192, 0.2252504527568817, 0.2313215285539627, 0.23268750309944153, 0.2338317185640335, 0.22514130175113678, 0.23316264152526855, 0.23443980515003204, 0.7742522358894348, 0.23003047704696655, 0.23171614110469818, 0.23196664452552795, 0.23111335933208466, 0.232340469956398]"
262,[262],[0.33003535866737366],[],[]
263,"[263, 264, 1994]","[0.412678986787796, 0.3425755500793457, 0.6029843091964722]","[688, 689, 690, 4099]","[0.775844395160675, 0.7570366263389587, 0.7348393201828003, 0.735538899898529]"
264,"[263, 264, 1994]","[0.2632220387458801, 0.7227320671081543, 0.29812538623809814]","[688, 690, 4099]","[0.7372969388961792, 0.7752607464790344, 0.7659160494804382]"
265,"[265, 880, 1756]","[0.2763529121875763, 0.2741960883140564, 0.29585081338882446]","[691, 1813, 3533]","[0.2155531495809555, 0.7436243295669556, 0.7706882357597351]"
266,"[89, 266, 267, 268, 367, 1025]","[0.3259251117706299, 0.7294331789016724, 0.28735247254371643, 0.7291578650474548, 0.2931220233440399, 0.34484627842903137]","[213, 692, 693, 694, 695, 697, 698, 920, 2103]","[0.7415646910667419, 0.7787700891494751, 0.7525078058242798, 0.7475609183311462, 0.7844125032424927, 0.7292491793632507, 0.7867413759231567, 0.7850296497344971, 0.741173267364502]"
267,"[89, 266, 267, 268, 365, 367, 395, 421, 872, 873, 941, 1025]","[0.3290996551513672, 0.6838012933731079, 0.3038491904735565, 0.7540889978408813, 0.3067452609539032, 0.2728070318698883, 0.27551034092903137, 0.31302180886268616, 0.31274843215942383, 0.4803958535194397, 0.45725786685943604, 0.27868014574050903]","[213, 692, 693, 694, 695, 696, 697, 698, 912, 920, 992, 1068, 1792, 1794, 1869, 2103]","[0.7672767043113708, 0.7383651733398438, 0.764742374420166, 0.7905251383781433, 0.21248997747898102, 0.7651764750480652, 0.7634461522102356, 0.7418076992034912, 0.7594830989837646, 0.720034658908844, 0.7926828861236572, 0.754808247089386, 0.759449303150177, 0.7500051856040955, 0.7523232102394104, 0.7611665725708008]"
268,"[89, 266, 267, 268, 367, 1025]","[0.6858396530151367, 0.27627992630004883, 0.25752976536750793, 0.7275248765945435, 0.30723679065704346, 0.4690006673336029]","[213, 692, 693, 694, 695, 697, 698, 699, 700, 920, 2103]","[0.7227463722229004, 0.7909332513809204, 0.7259584665298462, 0.7866418361663818, 0.7520891427993774, 0.7447718977928162, 0.788386881351471, 0.7751163244247437, 0.772005558013916, 0.7874284386634827, 0.7181581258773804]"
269,"[52, 132, 269, 289, 305, 308, 310, 337, 342, 417, 420, 437, 461, 505, 519, 556, 576, 590, 591, 615, 636, 700, 832, 833, 958, 959, 982, 983, 1324, 2114, 3384]","[0.2491617351770401, 0.27212488651275635, 0.7584063410758972, 0.27453216910362244, 0.6922862529754639, 0.2823728621006012, 0.32248973846435547, 0.28474459052085876, 0.2742439806461334, 0.7292652726173401, 0.7204899191856384, 0.27693885564804077, 0.6826497912406921, 0.2970745861530304, 0.7449727654457092, 0.7443585395812988, 0.2828185558319092, 0.2830857038497925, 0.3066851496696472, 0.25974559783935547, 0.4164210855960846, 0.34179672598838806, 0.3109847903251648, 0.2822074592113495, 0.2859255075454712, 0.2641601860523224, 0.29324033856391907, 0.29796263575553894, 0.29825451970100403, 0.6958221793174744, 0.31613853573799133]","[108, 315, 701, 702, 703, 704, 705, 706, 707, 708, 709, 736, 750, 757, 769, 863, 871, 874, 1062, 1067, 1107, 1141, 1209, 1216, 1317, 1349, 1378, 1379, 1421, 1442, 1539, 1540, 1541, 1732, 1733, 1734, 1739, 1880, 1881, 1966, 1974, 2552, 4421, 4422, 4423, 6521]","[0.22469665110111237, 0.7633395195007324, 0.7718892097473145, 0.7865108847618103, 0.7743789553642273, 0.7769878506660461, 0.7914275527000427, 0.2222171425819397, 0.7859542965888977, 0.7637327313423157, 0.7806716561317444, 0.22922299802303314, 0.7177466154098511, 0.22438302636146545, 0.7164129614830017, 0.7667878270149231, 0.22349600493907928, 0.22615021467208862, 0.7344163656234741, 0.7304977178573608, 0.23002049326896667, 0.7519544959068298, 0.7656614184379578, 0.7475451827049255, 0.724460780620575, 0.7722007036209106, 0.23466727137565613, 0.7387003302574158, 0.7238740921020508, 0.7376826405525208, 0.7212531566619873, 0.22168569266796112, 0.7771724462509155, 0.7211874723434448, 0.7809643149375916, 0.7854991555213928, 0.22714278101921082, 0.7555561065673828, 0.23296257853507996, 0.21770669519901276, 0.7768600583076477, 0.7662312984466553, 0.7236275672912598, 0.7817378044128418, 0.7908852100372314, 0.7506855130195618]"
270,[270],[0.2789038419723511],[],[]
271,"[271, 766]","[0.4336322844028473, 0.29177308082580566]","[710, 1644]","[0.7611135840415955, 0.7383710145950317]"
272,[272],[0.42478713393211365],[],[]
273,"[91, 273, 274, 688, 815]","[0.3236437439918518, 0.5578775405883789, 0.32987180352211, 0.26785874366760254, 0.6725236773490906]","[219, 711, 712, 1518, 1707]","[0.7744921445846558, 0.7610937356948853, 0.7372252345085144, 0.7803823947906494, 0.7506421804428101]"
274,"[73, 91, 273, 274, 290, 402, 403, 676, 688, 815, 3397]","[0.2821418046951294, 0.2756202518939972, 0.6293808221817017, 0.7225087881088257, 0.27996671199798584, 0.24681095778942108, 0.3286939561367035, 0.256935179233551, 0.26841962337493896, 0.710899829864502, 0.2607463598251343]","[166, 219, 220, 711, 712, 713, 714, 715, 739, 1013, 1016, 1496, 1516, 1518, 1707, 6525, 6526]","[0.2176681011915207, 0.7200841903686523, 0.779232382774353, 0.7273024320602417, 0.7388312220573425, 0.7468889951705933, 0.7828165888786316, 0.7871459126472473, 0.7800923585891724, 0.7786962985992432, 0.7805417776107788, 0.7751575708389282, 0.785422146320343, 0.7306751608848572, 0.7295873165130615, 0.21162554621696472, 0.21908758580684662]"
275,[275],[0.3934955894947052],[],[]
276,"[276, 277, 366, 579, 1603, 1699, 2091, 3991]","[0.7095479965209961, 0.31147265434265137, 0.2682427763938904, 0.24734556674957275, 0.297513872385025, 0.2572294771671295, 0.31245338916778564, 0.2636941373348236]","[716, 717, 718, 722, 917, 1359, 3301, 3420, 4346, 4347, 7023]","[0.7522352933883667, 0.7920629382133484, 0.7377599477767944, 0.7823821902275085, 0.2244112193584442, 0.7865756750106812, 0.24555452167987823, 0.7871551513671875, 0.7435476779937744, 0.7745075821876526, 0.22857214510440826]"
277,"[119, 276, 277, 286, 366, 579, 580, 1054, 1429, 1603, 1699, 1724, 2091, 2109, 3991]","[0.28117772936820984, 0.3798694312572479, 0.7446109056472778, 0.23568548262119293, 0.283206582069397, 0.2726084589958191, 0.2954937219619751, 0.2613047957420349, 0.2516794204711914, 0.272221177816391, 0.3101317584514618, 0.29637113213539124, 0.3028147220611572, 0.2772177755832672, 0.26479974389076233]","[277, 716, 717, 718, 719, 720, 721, 722, 723, 724, 730, 917, 918, 1356, 1359, 1360, 2162, 2874, 3301, 3420, 3467, 4346, 4347, 4418, 7023]","[0.21594718098640442, 0.71461021900177, 0.7785999178886414, 0.7415139675140381, 0.21777383983135223, 0.7779503464698792, 0.21974746882915497, 0.789649248123169, 0.7894271612167358, 0.7868616580963135, 0.2601822018623352, 0.7468999028205872, 0.22181160748004913, 0.7848788499832153, 0.7382141351699829, 0.2230588048696518, 0.2173847109079361, 0.7839072346687317, 0.781830906867981, 0.7386330366134644, 0.7722005248069763, 0.7565048336982727, 0.7301487922668457, 0.21623457968235016, 0.7461813688278198]"
278,"[278, 378, 379, 380, 381]","[0.4833555817604065, 0.4726002514362335, 0.26855048537254333, 0.30529484152793884, 0.30362820625305176]","[725, 726, 942, 943, 944, 947, 949, 950]","[0.7775720953941345, 0.7599189281463623, 0.731947660446167, 0.7606753706932068, 0.764275312423706, 0.7547503709793091, 0.7325274348258972, 0.7888506054878235]"
279,[279],[0.25610852241516113],[],[]
280,[280],[0.43033313751220703],[],[]
281,"[281, 1561, 1748]","[0.27900323271751404, 0.30947795510292053, 0.29107463359832764]","[727, 728, 3252, 3253, 3518, 3519]","[0.7813040018081665, 0.7892453670501709, 0.7336414456367493, 0.7827659249305725, 0.7468774914741516, 0.7862129211425781]"
282,"[282, 743]","[0.7046680450439453, 0.29886165261268616]","[729, 1609]","[0.7742934226989746, 0.7397472858428955]"
283,[283],[0.3512110412120819],[],[]
284,[284],[0.2794625461101532],[],[]
285,[285],[0.6833637356758118],[],[]
286,"[277, 286, 1603]","[0.27012208104133606, 0.7120927572250366, 0.3288522958755493]","[720, 730, 3300]","[0.7913533449172974, 0.7821911573410034, 0.7496687173843384]"
287,"[287, 289, 308, 342, 572, 832, 833, 891]","[0.7410567998886108, 0.30749112367630005, 0.29532375931739807, 0.27581295371055603, 0.28736361861228943, 0.31118565797805786, 0.2576651871204376, 0.7363667488098145]","[731, 732, 733, 755, 872, 1347, 1727, 1736, 1825]","[0.785904586315155, 0.7624427080154419, 0.7340834140777588, 0.790802538394928, 0.7930083274841309, 0.781007707118988, 0.7798959612846375, 0.7861321568489075, 0.727806806564331]"
288,[288],[0.3508372902870178],[],[]
289,"[269, 287, 289, 308, 309, 337, 341, 342, 391, 563, 572, 700, 828, 832, 833, 859, 891, 981, 982, 983, 2114]","[0.2886974811553955, 0.7182030081748962, 0.7297840714454651, 0.2817782461643219, 0.2846848666667938, 0.2922540605068207, 0.25637733936309814, 0.2694087326526642, 0.2770227789878845, 0.28956183791160583, 0.6940264701843262, 0.23070375621318817, 0.24230827391147614, 0.2954729497432709, 0.7192102074623108, 0.29368624091148376, 0.6692781448364258, 0.25540971755981445, 0.30173584818840027, 0.27769070863723755, 0.2957347631454468]","[706, 731, 733, 734, 735, 736, 737, 738, 755, 756, 757, 758, 761, 862, 868, 872, 873, 874, 875, 986, 1330, 1347, 1537, 1540, 1718, 1727, 1728, 1729, 1730, 1736, 1737, 1738, 1739, 1782, 1825, 1962, 1966, 1974, 4423]","[0.2160314917564392, 0.7300954461097717, 0.7656294703483582, 0.7867403030395508, 0.782267153263092, 0.7784600853919983, 0.7722907066345215, 0.742836058139801, 0.7360986471176147, 0.22875238955020905, 0.22306866943836212, 0.7905355095863342, 0.23505207896232605, 0.764320433139801, 0.22573304176330566, 0.7241160869598389, 0.21959559619426727, 0.2230585366487503, 0.2237352877855301, 0.7763841152191162, 0.7498750686645508, 0.731761634349823, 0.2197096198797226, 0.22499307990074158, 0.22244936227798462, 0.7301573753356934, 0.2243877798318863, 0.7894995808601379, 0.7926921844482422, 0.7360795736312866, 0.7914296388626099, 0.7824440002441406, 0.7810954451560974, 0.7635974884033203, 0.750031590461731, 0.2263714075088501, 0.22228683531284332, 0.7778234481811523, 0.7874112129211426]"
290,"[73, 91, 274, 290, 402, 403, 676, 688, 3397]","[0.2871965765953064, 0.6786953806877136, 0.32769161462783813, 0.7135418653488159, 0.30123546719551086, 0.2811225354671478, 0.2712242007255554, 0.3212088346481323, 0.2827996611595154]","[166, 218, 714, 739, 1013, 1016, 1496, 1516, 6525]","[0.21208555996418, 0.7311704754829407, 0.775164008140564, 0.7757253050804138, 0.7746571898460388, 0.7787303328514099, 0.7683116793632507, 0.7759060263633728, 0.7920905351638794]"
291,[291],[0.4396614730358124],[],[]
292,[292],[0.4072871804237366],[],[]
293,[293],[0.5518561005592346],[],[]
294,"[190, 294]","[0.3339061737060547, 0.34333962202072144]","[486, 740]","[0.7393262386322021, 0.7817463874816895]"
295,"[295, 952]","[0.2800036370754242, 0.27415353059768677]","[741, 1878]","[0.7802065014839172, 0.7568271160125732]"
296,"[296, 345, 2858]","[0.6927171349525452, 0.26837995648384094, 0.29684415459632874]","[742, 743, 880, 881, 5891, 5892]","[0.7460022568702698, 0.7904387712478638, 0.7383617758750916, 0.7877600789070129, 0.7840471863746643, 0.23231856524944305]"
297,"[297, 933]","[0.37432047724723816, 0.3005419671535492]","[744, 1865]","[0.7651005387306213, 0.736103892326355]"
298,"[298, 324, 331, 436, 775, 888, 2898, 3266, 3322, 3553]","[0.7438348531723022, 0.2481984794139862, 0.7206425070762634, 0.25907665491104126, 0.2823837697505951, 0.3043684661388397, 0.2611808478832245, 0.25435879826545715, 0.3367505371570587, 0.27240633964538574]","[745, 746, 747, 827, 858, 1103, 1662, 1822, 5934, 6413, 6478, 6646]","[0.7791890501976013, 0.7664144039154053, 0.763771653175354, 0.21688050031661987, 0.7385037541389465, 0.2159264087677002, 0.743216335773468, 0.7828992605209351, 0.7476831674575806, 0.7740553617477417, 0.7574957609176636, 0.2332497239112854]"
299,"[299, 845]","[0.645623505115509, 0.2942054271697998]","[748, 1752]","[0.7716345191001892, 0.7404524087905884]"
300,[300],[0.30507147312164307],[],[]
301,[301],[0.3844008147716522],[],[]
302,[302],[0.29207760095596313],[],[]
303,[303],[0.3753185570240021],[],[]
304,[304],[0.35444945096969604],[],[]
305,"[132, 269, 305, 310, 417, 420, 556, 591, 615, 700, 832, 1792, 2114]","[0.5616622567176819, 0.2910054326057434, 0.7346225380897522, 0.26686951518058777, 0.2536727488040924, 0.27632763981819153, 0.27277252078056335, 0.7445899844169617, 0.30576997995376587, 0.2704226076602936, 0.2659021019935608, 0.28916940093040466, 0.2889176309108734]","[315, 703, 749, 750, 751, 769, 1062, 1067, 1317, 1379, 1421, 1539, 1732, 3598, 4421]","[0.7274535298347473, 0.7248467803001404, 0.7612040042877197, 0.7840404510498047, 0.7727028131484985, 0.7836836576461792, 0.7752470374107361, 0.7818081974983215, 0.778314471244812, 0.7351167798042297, 0.7874531745910645, 0.7920176386833191, 0.7898281812667847, 0.21417737007141113, 0.7850180864334106]"
306,[306],[0.3747742474079132],[],[]
307,[307],[0.38389310240745544],[],[]
308,"[236, 269, 287, 289, 308, 309, 337, 341, 342, 391, 563, 572, 700, 828, 832, 833, 859, 868, 981, 982, 983, 1179, 1845, 1863, 1864, 2114, 2998]","[0.2953639626502991, 0.26576635241508484, 0.267088383436203, 0.7562933564186096, 0.7524504661560059, 0.2777429521083832, 0.29977288842201233, 0.2668474018573761, 0.25824329257011414, 0.37026113271713257, 0.2857389748096466, 0.2971697151660919, 0.2760429382324219, 0.24796627461910248, 0.2746926248073578, 0.7384958863258362, 0.30830714106559753, 0.2559749186038971, 0.27400365471839905, 0.29431554675102234, 0.27104493975639343, 0.2810002863407135, 0.30237138271331787, 0.26769205927848816, 0.2854306995868683, 0.2778313159942627, 0.2768884301185608]","[633, 706, 731, 734, 735, 736, 737, 752, 753, 754, 755, 756, 757, 758, 759, 760, 761, 862, 868, 872, 873, 874, 875, 986, 1330, 1347, 1537, 1540, 1718, 1727, 1728, 1729, 1730, 1736, 1737, 1738, 1739, 1782, 1789, 1962, 1966, 1974, 2337, 3759, 3799, 3800, 4423, 6073]","[0.23062916100025177, 0.2202075868844986, 0.7665247917175293, 0.7312203645706177, 0.77938312292099, 0.7888229489326477, 0.7780482172966003, 0.2217625379562378, 0.7848309278488159, 0.7506798505783081, 0.787407636642456, 0.22150123119354248, 0.22305765748023987, 0.2249678373336792, 0.7616005539894104, 0.752457320690155, 0.7640146613121033, 0.7620605230331421, 0.22519390285015106, 0.22593429684638977, 0.7256956696510315, 0.2260773479938507, 0.22550268471240997, 0.7227558493614197, 0.7271960377693176, 0.7627779245376587, 0.7782027125358582, 0.22131213545799255, 0.7429161667823792, 0.2286069095134735, 0.7296944260597229, 0.2245471179485321, 0.22948014736175537, 0.7867055535316467, 0.7259131073951721, 0.7841008901596069, 0.786490797996521, 0.7572974562644958, 0.7737764716148376, 0.7351369261741638, 0.2370607554912567, 0.7796902060508728, 0.22680355608463287, 0.22864066064357758, 0.23562152683734894, 0.2341018170118332, 0.782831072807312, 0.7435017824172974]"
309,"[236, 289, 308, 309, 342, 391, 563, 692, 828, 832, 833, 981, 1179, 1819, 1845, 1848, 1863, 1864, 2163, 2485]","[0.7259570360183716, 0.2612629532814026, 0.2800307869911194, 0.296088844537735, 0.28656110167503357, 0.28249919414520264, 0.2577138841152191, 0.2799209952354431, 0.2536008656024933, 0.2618992328643799, 0.25242379307746887, 0.24961316585540771, 0.7324072122573853, 0.27579715847969055, 0.41737884283065796, 0.2744278311729431, 0.7746415734291077, 0.25625938177108765, 0.3004363179206848, 0.3077702820301056]","[630, 631, 632, 633, 734, 752, 761, 762, 763, 764, 765, 766, 873, 986, 1330, 1523, 1718, 1728, 1737, 1962, 2337, 2338, 3685, 3759, 3760, 3761, 3762, 3763, 3771, 3797, 3798, 3799, 3800, 3801, 3803, 4518, 5351]","[0.765129804611206, 0.7878623008728027, 0.763679027557373, 0.22104352712631226, 0.22506673634052277, 0.2583253085613251, 0.22230872511863708, 0.7834181189537048, 0.7808825969696045, 0.21981839835643768, 0.22680097818374634, 0.2212114781141281, 0.22207176685333252, 0.22479045391082764, 0.231772318482399, 0.23541539907455444, 0.2247537225484848, 0.2249089777469635, 0.2258608192205429, 0.22089128196239471, 0.7684409022331238, 0.7825657725334167, 0.2247241884469986, 0.7738051414489746, 0.766869306564331, 0.7796427011489868, 0.7839003205299377, 0.21761436760425568, 0.27433860301971436, 0.7467988729476929, 0.7758404612541199, 0.7831403613090515, 0.29226154088974, 0.2318286895751953, 0.2260890156030655, 0.2262766808271408, 0.7836787700653076]"
310,"[52, 269, 305, 310, 417, 420, 441, 505, 556, 615, 636, 700, 832, 938, 1324, 2114, 3383, 3384, 3427]","[0.2828427255153656, 0.26961639523506165, 0.2724282741546631, 0.7298322916030884, 0.29206985235214233, 0.2846682071685791, 0.28219518065452576, 0.6907837986946106, 0.24201925098896027, 0.2664511203765869, 0.7086838483810425, 0.27566903829574585, 0.280218243598938, 0.27980300784111023, 0.6484988927841187, 0.2908467650413513, 0.2871462404727936, 0.6967902779579163, 0.29564324021339417]","[110, 112, 709, 750, 767, 768, 769, 770, 771, 1062, 1067, 1120, 1209, 1317, 1421, 1442, 1539, 1732, 1868, 2552, 2553, 4421, 6517, 6521, 6522, 6539]","[0.22176367044448853, 0.7923590540885925, 0.7194197773933411, 0.7824355959892273, 0.7486305832862854, 0.7376996278762817, 0.7851249575614929, 0.7785378694534302, 0.7771045565605164, 0.7727972865104675, 0.785284698009491, 0.7896519899368286, 0.7236014008522034, 0.7839404344558716, 0.22339020669460297, 0.7209232449531555, 0.22385461628437042, 0.219488725066185, 0.7416632771492004, 0.7205468416213989, 0.773334264755249, 0.7859460115432739, 0.788670539855957, 0.7205857038497925, 0.7659932374954224, 0.7526425719261169]"
311,"[311, 312]","[0.3097303807735443, 0.27916187047958374]","[772, 773]","[0.7838286757469177, 0.75260329246521]"
312,"[311, 312]","[0.2801036536693573, 0.28338685631752014]","[772, 773]","[0.7532595992088318, 0.7850484848022461]"
313,"[313, 314, 315, 719]","[0.34120094776153564, 0.29555973410606384, 0.30926334857940674, 0.2943453788757324]","[774, 775, 776, 777, 779, 780, 1579, 1580]","[0.7531676888465881, 0.7759007215499878, 0.7266873717308044, 0.7626593708992004, 0.7396049499511719, 0.7558295130729675, 0.7745262980461121, 0.7865198850631714]"
314,"[313, 314, 315, 397, 719, 720]","[0.33806419372558594, 0.7393848299980164, 0.30993467569351196, 0.3037582337856293, 0.2798106372356415, 0.2612849473953247]","[774, 775, 776, 777, 778, 779, 780, 781, 1000, 1579, 1580, 1584]","[0.7324920892715454, 0.7509607672691345, 0.7660068273544312, 0.750015139579773, 0.7787871956825256, 0.7711745500564575, 0.7382103800773621, 0.7802165746688843, 0.7833370566368103, 0.743884801864624, 0.7629790902137756, 0.7924830317497253]"
315,"[313, 314, 315, 397, 719, 720]","[0.6084872484207153, 0.4442087709903717, 0.6714838743209839, 0.27825450897216797, 0.3036600649356842, 0.27998194098472595]","[774, 775, 776, 777, 778, 779, 780, 781, 1000, 1579, 1580, 1584]","[0.7484705448150635, 0.7348669767379761, 0.7580150961875916, 0.7323290705680847, 0.7756898403167725, 0.780884861946106, 0.7586111426353455, 0.7855505347251892, 0.7835354208946228, 0.7661159038543701, 0.7368805408477783, 0.2155999094247818]"
316,"[316, 383, 1204, 1220]","[0.725468635559082, 0.2653900384902954, 0.5071213841438293, 0.2739408612251282]","[782, 955, 2388, 2418]","[0.7782888412475586, 0.20717915892601013, 0.7488387227058411, 0.21095497906208038]"
317,"[92, 317, 326, 429, 469, 501, 502, 527, 870, 893, 905, 945, 990, 1004, 1873, 1874, 2067, 2341, 2559, 2686, 2812, 3248, 3252, 3253]","[0.28392598032951355, 0.7544045448303223, 0.269732266664505, 0.302826851606369, 0.2722768783569336, 0.25299808382987976, 0.28596675395965576, 0.23581546545028687, 0.3295189440250397, 0.4245067834854126, 0.28113606572151184, 0.26936471462249756, 0.30564889311790466, 0.7230156064033508, 0.24838116765022278, 0.2618291676044464, 0.3103744089603424, 0.26945024728775024, 0.24159367382526398, 0.2790018916130066, 0.25800731778144836, 0.2857176661491394, 0.2664819359779358, 0.2788330316543579]","[226, 783, 784, 785, 786, 787, 788, 849, 850, 1084, 1158, 1199, 1200, 1204, 1224, 1790, 1826, 1848, 1872, 1981, 1982, 2008, 3819, 3821, 4295, 5039, 5466, 5661, 5843, 6397, 6398, 6399, 6401, 6403, 6405]","[0.22918380796909332, 0.7841528654098511, 0.7801495790481567, 0.2195281684398651, 0.7565991282463074, 0.2215268760919571, 0.22140103578567505, 0.736174464225769, 0.2207910567522049, 0.7541650533676147, 0.23309901356697083, 0.7488266229629517, 0.22332464158535004, 0.2491605579853058, 0.22509019076824188, 0.23773640394210815, 0.7456310987472534, 0.7584425210952759, 0.24227239191532135, 0.7304657101631165, 0.2207515388727188, 0.75048828125, 0.24430306255817413, 0.22267261147499084, 0.22516068816184998, 0.22836999595165253, 0.22120022773742676, 0.22606603801250458, 0.2234344780445099, 0.7939778566360474, 0.7311158180236816, 0.21824829280376434, 0.2305937558412552, 0.21535658836364746, 0.7452374696731567]"
